Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Ribbons of the Fool,pouch,The Lord of Fools,Wondrous Item (Very Rare)(Requires Attunement),-,-,-,"The Ribbons of the Fool are imbued with Demonic energy. When you attune to the ribbons, they magically wrap around a weapon of your liking, or around your arms, so as to leave them free to use when you are not actively using them. As a Bonus Action, you can make a ranged melee attack with either Dexterity or Charisma, and send ribbons forth to wrap around a creature up to 15 ft from you that is Large or smaller and Grapple it. You can grapple up to 3 creatures this way by using subsequent bonus actions as long as you remain within range of the ribbons (15 ft). On a hit, you deal 2d6 plus your modifier Slashing damage. As part of the same bonus action, or subsequent bonus actions, you can pull it towards you 5 ft. The Ribbons have 8 charges. You can spend 1 charge to cast Tasha's Hilarious laughter at the 3rd level. You can use 1 charge and a Magic Action to spin all targets you have currently grappled like a top. Each target must succeed on a a DC 17 Strength Saving Throw or become Prone after spinning and take 4d10 Bludgeoning damage. You can use 4 charges to cast Otto's Irresistible Dance. The ribbons regain 1d8 charges on a Long Rest.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading","15(x1), Auto Success on Fated Tarot: The Magician(x1)", "Fool's Day Festival"
Buzzer of the Fool,-,The Lord of Fools,Weapon (Very Rare),-,-,-,"The electric buzzer of the Lord of Fools. You can keep it in one hand as long as you don't use it to hold another weapon. As a Magic Action, you can make a melee attack roll to grab the target and shock them. On a hit, the target takes 3d12 Lightning damage and can't take Reactions until the end of your next turn.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading","15(x1), Auto Success on Fated Tarot: The Magician(x1)", "Fool's Day Festival"
Marotte Of The Lord Of Fools,bag,The Lord of Fools,Weapon (Very Rare)(Requires Attunement),-,-,-,"The Marotte Of The Lord Of Fools, from the Fated Tarot Reading, with alternate rolling to find options.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading","20(x1), Auto Success on Fated Tarot: The Magician(x1)", "Fool's Day Festival"
Mirror Twig,pouch,The Crooked Man,Consumable (Very Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",5000 GP,Snap,"A cursed twig that will reflect damage dealt to it to a target. Choose 1 target that is Large or smaller you can see within 10 ft of you and put the twig between your line of sight and their body. When you snap the twig, the target must make a DC 19 Strength Saving Throw or have some place of its body snapped in a similar fashion. On a failed saving throw it takes 10d6 Force damage. Roll a 1d6. On a 1 or 2, it snaps a limb and has Disadvantage on attack rolls. On a 3 or 4, it snaps one leg and its speed is halved and cannot Dash. On a 5, it breaks a rib and takes 1d4 Piercing damage every time it attacks. On a 6, it snaps its neck, falls Prone and has the Paralyzed condition. Enemies with Legendary Actions, regardless of if they use them or not for this effect, cannot be affected. (DM Note: Could be hard for people with aversion to body horror. You can instead make them have jelly bones, and instead of a twig use a piece of rubber. In such a case, 6 makes their entire body have jelly bones)",-,"Survival, Perception, Investigation","25(x1),30(x2)", "The Crooked Nightmare"
Gobblegeist Petrified Eye,pouch,"Gobblegeist, Frederick (Gobblegeist)",Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,"Point","As a Magic action, you can point the eye and expel a beam making a 60 ft long 5 ft wide line. Creatures in the line make a DC 14 Dexterity Saving Throw, and on a failure take 1d12 Psychic damage and have the Stunned condition until the start of the user's next turn.",-,"Survival, Nature， Arcana","17(x1)", "Moors, The Crooked Nightmare, The Wytchwood, Foxwillow (Galloping Headsman riled), The Drowned Crossroads (Jinxed Leviathan riled), Webwoods (Dusk Mother dolls)"
Gobblegeist Meat,bag,Gobblegeist,Ingredient (Rare),"Potions, Scrolls, Spells",250 GP,-,"You can use this instead of 250 GP when crafting potions, scrolls, or as the material component for spells","When cooked, you can cook for up to 4 people. When eaten this way, you have resistance to Psychic damage for 1 hour.","Survival, Nature","17(x1),23(x2)","Moors, The Crooked Nightmare, The Wytchwood, Foxwillow (Galloping Headsman riled), The Drowned Crossroads (Jinxed Leviathan riled), Webwoods (Dusk Mother dolls)"
Unravelling Whispers,vial,Nightmare Wisp (Sphinx of Lore),Consumable (Very Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",2500 GP,Absorb,"As Wisp disappears into nothingness, it left behind a magical trace that you can put in a vial. When consumed, you permanently gain a +2 bonus to Insight.",-,"Insight, Arcana","23(x1),27(x2),32(1 for each party member)", "The Crooked Nightmare"
Drakkenhob Blood,vial,Drakkenhob,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items, Bellowing Dragoncrest Ring, Lingering Dragoncrest Ring",500 GP,"Weapon Enchant, Armor Enchant, Accessory Enchant, Drink","The Drakkenhob is as much a creature that revels in terror as it revels in coveting material possessions. It will covet gold and alcohol like no other dragon would. Its blood is still rampant with these energies. You can use it to coat a weapon with the blood in a ritual lasting 10 minutes, permanently making it a Covetous Weapon (Rare). If it is a knife, it becomes a Covetous Harvesting Knife (Rare). You can use it to coat a shield with it in a ritual lasting 10 minutes, permanently making the shield a Fright Shield (Rare). You can use it to coat an accessory with the blood, such as a ring or amulet, in a ritual lasting 10 minutes, permanently making a Gold Accessory of Coveting (Rare). As with the blood of any dragon, you can also use it as materials towards the 20,000 GP necessary to craft a Bellowing Dragoncrest Ring (Very Rare), or a Lingering Dragoncrest Ring (Very Rare). Lastly, you can drink it to gain draconic powers for 1 hour. You can speak and understand Draconic, gain Blindsight to 60 ft, and a Dragon's Breath for the duration. When using the breath weapon, you exhale terror flames in a 20 ft Cone. Creatures in the area must succeed on a DC 15 Dexterity Saving Throw or take 4d6 Psychic damage and become Frightened until the start of your next turn.","You can use this to cook a meal with special effects for up to 6 people. When eaten, you gain draconic powers for 10 minutes. You can speak and understand Draconic, gain Blindsight for 60 ft, and can impose Disadvantage on targets of Intimidation checks.","Survival, Nature, Arcana, Alchemist Kit","15(x1),17(x2),21(x3),25(x4)", "The Crooked Nightmare, Foxwillow (The Galloping Headsman riled), Webwoods (Dusk Mother dolls)"
Covetous Weapon,-,-,Weapon (Rare),-,-,-,"This weapon imbued with the greed of the Drakkenhob covets the treasure and valuable body parts of your enemies. You have a +1 bonus to attack and damage rolls with this weapon. When the enemy is Bloodied, you have a +3 bonus to attack and damage rolls with this weapon. When you roll a 20 on an attack roll made with this weapon, the target takes an extra 10 damage.",-,-,-,-
Covetous Harvesting Knife,-,-,Weapon (Rare),-,-,-,"This harvesting knife imbued with the greed of the Drakkenhob covets the treasure and valuable body parts of your enemies. You have a +1 bonus to attack and damage rolls with this weapon. When the enemy is Bloodied, you have a +3 bonus to attack and damage rolls with this weapon. When you roll a 20 on an attack roll made with this weapon, the target takes an extra 5 damage. When you use this weapon to harvest body parts, you gain a +3 bonus to your Ability check.",-,-,-,-
Fright Shield,-,-,Shield (Rare),-,-,-,"This shield has a frightful face on its surface, which you can animate to move. You gain a +2 bonus to Intimidation checks. You have a +1 bonus to your Armor Class and saving throws. For each creature that is Frightened of you or your shield within a 20 ft radius of you, you gain a +1 bonus to your Armor Class. Once per long rest, you can use a Bonus Action to create a 30 ft Cone of Fright with your Shield's face. Creatures in the area must succeed on a DC 16 Wisdom Saving Throw or become Frightened.",-,-,-,-
Gold Accessory of Coveting,-,-,Wondrous Item (Rare),-,-,-,"A gold accessory bathed in the blood of a Drakkenhob, which covets material goods. When wearing the accessory, you gain a +2 bonus to Ability Checks used to find treasure.",-,-,-,-
Drakkenhob Scales,bag,Drakkenhob,Ingredient (Rare),"Armor (Scale), Shields",1000 GP,-,"The scales of the Drakkenhob can be used as 1000 GP worth in materials towards the 2000 GP necessary to make Dakkenhob Scale Armor (Rare), as well as other scale armors or shields.",-,"Survival, Nature, Arcana","17(x1),23(x2)", "The Crooked Nightmare, Foxwillow (The Galloping Headsman riled), Webwoods (Dusk Mother dolls)"
Drakkenhob Scale Armor,-,-,Armor (Rare)(Requires Attunement),-,-,-,"An armor made with the scales of a Drakkenhob. You gain Advantage on saving throws against the Drakkenhob's Terrifying Breath. Whenever you would take Psychic damage, roll 1d10 and subtract the total from the damage. Additionally, you can focus your senses as a Magic action to discern the distance and direction to the closest Drakkenhob within 30 miles of you. This action can’t be used again until the next time you take a Long Rest.",-,-,-,-
Drakkenhob Horn,bag,Drakkenhob,Ingredient (Rare),"Weapons, Armor, Rings, Wondrous Items, Helm of the Drakkenhob",500 GP,Absorb,"The horns of the Drakkenhob are still imbued with the magic to produce its terrifying breath. You can absorb this energy as a Bonus Action to temporarily grow a dragon snout and use the Terrifying Breath weapon for 10 minutes. When using the breath weapon, you exhale terror flames in a 20 ft Cone. Creatures in the area must succeed on a DC 17 Dexterity Saving Throw or take 4d6 Psychic damage and become Frightened until the start of your next turn.",-,"Survival, Nature, Arcana","13(x1),17(x2)","The Crooked Nightmare, Foxwillow (The Galloping Headsman riled), Webwoods (Dusk Mother dolls)"
Helm of the Drakkenhob,bag,-,Wondrous Item (Rare)(Requires Attunement),-,-,Wear,"A helm made with the horns of a Drakkenhob. While you are wearing the helm and are attuned to it, you can speak and understand Draconic, and gain Blindsight to 60 ft. The helm has 3 charges. You can use 1 charge and a Bonus Action to gain the ability to use the Drakkenhobs Terrifying Breath for 1 hour. When using the breath weapon, you exhale terror flames in a 30 ft Cone. Creatures in the area must succeed on a DC 17 Dexterity Saving Throw or take 4d6 Psychic damage and become Frightened until the start of your next turn. The helm regains 1d3 charges on a Long Rest.",-,-,-,-
Drakkenhob Mantle,bag,Drakkenhob,Ingredient (Rare),"Scrolls, Spells, Wondrous Items (Clothing)",1000 GP,-,"The mantle on the back of the Drakkenhob still emanates some of its magic. You can use this in place of 1000 GP worth of materials towards the 2000 GP necessary to craft the Drakkenhob Cloak (Rare), or other magic clothing items.",-,"Survival, Nature, Arcana","15(x1)", "The Crooked Nightmare, Foxwillow (The Galloping Headsman riled), Webwoods (Dusk Mother dolls)"
